determinante	determinant
dystopie	dystopia
raclettekäse	raclette
präsentation	presentation
hyperbolisch	hyperbolic
finale	final
astronom	astronomer
pandeismus	pandeism
hyperthermie	hyperthermia
relativität	relativity
malteserin	maltese
sympathie	sympathy
musikinstrument	instrument
ejakulation	ejaculation
kompass	compass
immens	immense
schimpanse	chimpanzee
jurisprudenz	jurisprudence
filtern	filter	 fine	 percolate
korona	corona
zionismus	zionism
speleologie	speleology
adrenerg	adrenergic
dilettantismus	dilettantism
biodiversität	biodiversity
psychotiker	psychotic
sextant	sextans
metamorphose	metamorphosis
professionell	professional
kombinatorik	combinatorics
turkmenin	turkmen
chlamydien	chlamydia
melancholie	ennui	 melancholy
etatismus	etatism	 statism
bombastisch	bombastic
solide	solid
anarchismus	anarchism
anisotrop	anisotropic
triade	triad
polykarbonat	polycarbonate
derivat	derivative
hedonismus	hedonism
popularität	popularity
bogotá	bogota
resolut	resolute	 determined
eurolinguistik	eurolinguistics
kaution	bail	 caution
apoll	apollo
ambiguität	ambiguity
okarina	ocarina
goldfisch	goldfish
agrobiologie	agrobiology
kollegial	collegial
belgrad	belgrade
bombarde	bombard
lupine	lupin
magdalena	magdalene
krasnojarsk	krasnoyarsk
kannibale	cannibal
konfiguration	configuration
nicaraguanisch	nicaraguan
kurator	curator
salut	salute
deklination	declination	 declension
luxemburgerin	luxembourger	 luxemburger
diptot	diptote
interaktion	interaction
martensit	martensite
parasympathomimetisch	parasympathomimetic
astrophysik	astrophysics
cystein	cysteine
kentaur	centaur
habitus	habit
kolumnist	columnist
aktualismus	actualism
geophysik	geophysics
äquatorial	equatorial
wilhelmine	wilhelmina
monotheistisch	monotheistic
skorpion	scorpion	 scorpio	 scorpius
zoroastrier	zoroastrian
senat	senate
chrysantheme	chrysanthemum
mathematik	mathematics
exponentiell	exponential
komparativ	comparative
senil	senile
epitop	epitope
neologismus	neologism
triller	trill
juliane	juliana
hirsutismus	hirsutism
insolvenz	insolvency
krumholz	elfinwood	 krummholz
generalissimus	generalissimo
laryngologe	laryngologist
bioressource	bioresource
wallonien	wallonia
für	toward	 for
rekapitulation	recapitulation
skriptorium	scriptorium
unitarianismus	unitarianism
kanton	canton
anarchistisch	anarchistic
kondor	condor
kondom	condom
figur	figure	 character	 frame
bulle	hulk	 bull	 pig
optimismus	optimism
dolomiten	dolomites
scientologie	scientology
metastase	metastasis
sander	zander
frivolität	frivolity
legitim	legitimate
kommission	commission
champagner	champagne
wladimir	vladimir
wollen	woolen	 woollen	 want
philippinen	philippines
sandale	sandal
temperatur	temperature
transitiv	transitive
andorranisch	andorran
normativ	normative
aspekt	aspect
aristokrat	aristocrat
intransitiv	neuter	 intransitive
volatilität	volatility
perfektionist	perfectionist
filibustern	filibuster
abiogenese	abiogenesis
konfetti	confetti
jainismus	jainism
methionin	methionine
extrem	extremely	 extreme
tribut	tribute
diminutiv	diminutive
formaldehyd	formaldehyde
monochrom	monochrome
seychellen	seychelles
kleptomanie	kleptomania
februar	february
ecuadorianer	ecuadorian
mythologie	mythology
neutralität	neutrality
xenobiologie	xenobiology
bolivianisch	bolivian
pentan	pentane
asthenie	asthenia
wallon	walloon
triskaidekaphobie	triskaidekaphobia
ektoplasma	ectoplasm
asterismus	asterism
asthenosphäre	asthenosphere
sintern	sinter
nigerianisch	nigerian
molinologie	molinology
sulfid	sulfide
hypophosphatämie	hypophosphatemia
intoleranz	intolerance
homophobie	homophobia
humanismus	humanism
lampe	lamp
babysitten	babysit
somnambulismus	somnambulism
ballasten	ballast
liberianerin	liberian
deklaration	declaration
pathologie	pathology
optometrisch	optometric
afghane	afghan
tepelena	tepelenë
presse	press
konvent	convent
ösophagus	oesophagus
reinkarnation	reincarnation
anamnese	anamnesis
eloquenz	eloquence
horrend	horrendous
kriminologin	criminologist
ontologie	ontology
klassifikation	classification
antiangiogenese	antiangiogenesis
relativismus	relativism
juda	judah
toxoplasmose	toxoplasmosis
akronym	acronym
tantal	tantalum
quadratur	quadrature
organisation	organization
bulgarin	bulgarian
jekaterinburg	yekaterinburg
scharlatan	charlatan
thrombozytopenie	thrombocytopenia
sudanesin	sudanese
interessiert	interested
orgasmus	orgasm
vanille	vanilla
impedanz	impedance
roxane	roxana
synthetisch	synthetic
norepinephrin	norepinephrine
schematisch	schematic
quacksalber	quack	 quacksalver
trinker	drunk	 drinker
enzephalitis	encephalitis
minimalismus	minimalism
medikation	medication
revanchismus	revanchism
puls	pulse
primitiv	primitive
niueaner	niuean
paradoxon	paradox
zenit	zenith
fehlinterpretation	misinterpretation
oper	opera
ribosom	ribosome
immobilität	immobility
hut	hat	 cap
liberalismus	liberalism
konjugation	conjugation
syndesmose	syndesmosis
wunder	miracle	 wonder
helikopter	helicopter
hydraulik	hydraulics
mexiko	mexico
bodybuilderin	bodybuilder
dramaturgie	dramaturgy
koordinate	coordinate
aceton	acetone
evolutionismus	evolutionism
fluorophor	fluorophore
intrusiv	intrusive
psychedelisch	psychedelic
psychokinese	psychokinesis
solidarität	solidarity
rhetorik	rhetoric
rivale	rival
apokalypse	apocalypse
stabilität	stability
eklipse	eclipse
triptot	triptote
gymnastik	gymnastics
aerodynamik	aerodynamics
philatelie	philately
binitarianismus	binitarianism
meteorologe	meteorologist	 weatherman
sesam	sesame
korrelation	correlation
oligarchie	oligarchy
olymp	olympus
mitosom	mitosome
bermudas	bermuda
karton	cardboard	 carton	 cartoon
sunnit	sunni
pegasos	pegasus
locke	lock
garnitur	garniture
intersexualität	intersexuality
sperma	cum	 seed	 sperm
effekt	effect
relevanz	relevance
glossar	glossary
horologin	horologist
metonymie	metonymy
entomologie	entomology
idealistisch	idealistic
isometrisch	isometric
hydrozephalus	hydrocephalus
isotop	isotope	 isotopic
halleluja	alleluia	 hallelujah
nostalgie	nostalgia	 homesickness
argentinien	argentina
argentinier	argentinian
revolutionieren	revolutionize
intensität	intensity
polyglotter	polyglot
tschador	chador
zystitis	cystitis
isotropie	isotropy
kathedrale	cathedral
azetat	acetate
dioptas	dioptase
krater	crater
kompetent	able	 proficient	 competent
toilette	bathroom	 toilet	 restroom
dichotomie	dichotomy
brillant	brilliant
flanke	flank
kyanit	kyanite
ozelot	ocelot
rhodos	rhodes
bahrainer	bahraini
extraterrestrisch	extraterrestrial
kitschig	kitsch	 icky	 kitschy
bolivianer	bolivian
kardinal	cardinal
heterosexualität	heterosexuality
novelle	novella
geometrie	geometry
serie	series
hippopotomonstrosesquippedaliophobie	hippopotomonstrosesquipedaliophobia
himalaya	himalayas
privilegieren	privilege
serin	serine
ovar	ovary
magnolie	magnolia
demagoge	demagogue
zylinder	cylinder
pyrit	pyrite
bifurkation	bifurcation
zerebral	cerebral
oneirologie	oneirology
oneirologin	oneirologist
eremit	eremite	 loner
bande	posse	 gang	 cushion	 band
alphanumerisch	alphanumeric
funktional	functional
meßinstrument	instrument
pakistaner	pakistani
konglomerat	conglomerate
prävention	prevention
edelweiß	edelweiss
andorranerin	andorran
universität	university	 school
modifikation	modification
serbe	serb
repressiv	repressive
disjunktion	disjunction
revolte	revolt
hänsel	hansel
katamaran	catamaran
traditionell	traditional
walhall	valhalla
bhutaner	bhutanese
antiguaner	antiguan
imid	imide
pädophilie	pedophilia
elektroflotation	electroflotation
feudalismus	feudalism
dangme	adangme
xerophthalmie	xerophthalmia
glas	glass	 jar
implementieren	implement
arrhythmie	arrhythmia
telephon	telephone
generosität	generosity
kontingent	contingent
flandern	flanders
sommer	summery	 summer
googlen	google
ombudsmann	referee	 ombudsman
mitochondrium	mitochondrion
ataxie	ataxia
pathognomonisch	pathognomonic
acetylen	acetylene
millimeter	millimetre
mandoline	mandolin
testosteron	testosterone
transplantation	transplant
pagode	pagoda
philosoph	philosopher
diaphan	diaphanous
hijacken	hijack
flatulenz	flatulence
taxonomie	taxonomy
taurophobie	taurophobia
monetarismus	monetarism
ethan	ethane
nowosibirsk	novosibirsk
satzfragment	fragment
phobie	phobia	 fear
amateurin	amateur
gnom	gnome
kognitiv	cognitive
behemot	behemoth
elektromagnet	electromagnet
exhibitionismus	exhibitionism
deserteur	deserter
konversation	conversation
traumatisch	traumatic
militarismus	militarism
parametrisch	parametric
fiasko	fiasco
threonin	threonine
paraguayer	paraguayan
tirza	tirzah
aphorismus	aphorism
modell	pattern	 model
waffel	wafer	 waffle
konsequenz	consequence	 ramification
graphit	graphite
graphik	graphic
synonymie	synonymy
ruanda	rwanda
fotodiode	photodiode
resilienz	resilience
barbe	barbel
defekt	defective	 defect
synergetisch	synergistic	 synergetic
nanotechnologie	nanotechnology
logistik	logistics
barde	bard
synekdoche	synecdoche
transkription	transcription	 transliteration
ouvrierismus	ouvrierism
domains	domain
stereolithographie	stereolithography
atheismus	atheism
tyrosin	tyrosine
tarantel	tarantula
limonade	lemonade	 soda
hydrodynamik	hydrodynamics
methodologie	methodology
antithese	antithesis
laryngologisch	laryngological
primogenitur	primogeniture
matinee	matinée
hypothetisch	hypothetical	 hypothetic
autismus	autism
diagonale	diagonal
konsistent	consistent
hindern	hinder
panentheismus	panentheism
seismologie	seismology
delila	delilah
kuwaitisch	kuwaiti
allotrop	allotropic
kosmos	cosmos
exuberanz	exuberance
milliliter	millilitre
odyssee	odyssey
ambigramm	ambigram
kommodore	commodore
irreversibel	irreversible
fennek	fennec
ecuadorianerin	ecuadorian
irrationalismus	irrationalism
zentromer	centromere
orchidee	orchid
aristotelismus	aristotelianism
koalition	coalition
wikipedianer	wikipedian
savanne	savanna
zensus	census
autonomie	autonomy
tetragramm	tetragrammaton
intelligent	intelligence	 bright
intelligenz	intelligence
insekt	insect
kilogramm	kilogram
polster	bolster	 cushion
philologe	philologist
onomatopoese	onomatopoeia
platon	plato
statistik	statistics
wringen	wring	 mangle
aggressiv	aggressive
apoplexie	apoplexy
apoplexia	apoplexy
geopolitik	geopolitics
apollon	apollo
kompensation	compensation
exil	exile
konzentration	focus	 concentration
kolligation	colligation
satellit	satellite	 moon
senegalesin	senegalese
orthographie	orthography	 spelling
mineralogie	mineralogy
peristaltik	peristalsis
anagramm	anagram
platin	platinum
uraninit	uraninite
barbar	barbarian	 savage
transportieren	transport
haitianer	haitian
tonsur	tonsure
altruistisch	altruistic
exophthalmus	exophthalmos
expressionismus	expressionism
venusianisch	venusian
jona	jonah
kopilot	copilot
tscheboksary	cheboksary
halluzination	hallucination
athen	athens
vandalismus	vandalism
depolymerisation	depolymerization
phonetik	phonetics
formalismus	formalism
kompliment	compliment
malteser	maltese
sänger	singer
panentheistin	panentheist
xenophobisch	xenophobic
kollision	collision
ergonomie	ergonomics
isentrop	isentropic
stalinismus	stalinism
chinesen	chinese
philanthropisch	philanthropic
trinitarianismus	trinitarianism
quantil	quantile
pornographisch	pornographic
antiguanerin	antiguan
demagogie	demagogy	 demagogism
blogosphäre	blogosphere
berlinerin	berliner
epilog	epilogue
chandrabindu	candrabindu
surinamer	surinamese
kolluvium	colluvium
brutalität	brutality
charme	charm
algorithmus	algorithm
kamera	camera
tamarau	tamaraw
spiritismus	spiritism
pornographin	pornographer
stilben	stilbene
taoismus	taoism
sufismus	sufism
perfektion	perfection
august	augustus
buddhismus	buddhism
tanganjika	tanganyika
logarithmisch	logarithmic
tangente	tangent
agil	agile
arithmetik	arithmetic
menorca	minorca
bahrainisch	bahraini
provokation	provocation
koprophilie	coprophilia
alphabetisch	alphabetical	 alphabetic	 alphabetically
transportabel	transportable
sie	it	 you	 her	 she	 they
euroskeptiker	euroskeptic	 eurosceptic
kopenhagen	copenhagen
feminin	feminine
münster	minster
epoche	epoch	 age	 era
baileychlor	baileychlore
ethnozentrismus	ethnocentrism
apostroph	apostrophe
nymphe	nymph
hyperparathyreoidismus	hyperparathyroidism
paroxysmus	paroxysm
lunarianerin	lunarian
neptun	neptune
multiplikation	multiplication
existentielle	existential
antibiotisch	antibiotic
kricket	cricket
nigerianer	nigerian
beryll	beryl
symphonie	symphony
bisexuell	bisexual
psychotisch	psychotic
tamarinde	tamarind
amerika	america	 americas
industriell	industrial
idolatrie	idolatry
infrastruktur	infrastructure
subjekt	subject
kommunist	communist
psychotherapie	psychotherapy
transfektion	transfection
implantat	implant
kinom	kinome
halle	hall
pentagramm	pentagram
somalier	somali
biotop	biotope
venusianerin	venusian
nigerianerin	nigerian
pädophil	pedophile
polysynthetisch	polysynthetic
psychosomatisch	psychosomatic
esoterik	esotericism	 esoterism
photosynthese	photosynthesis
privileg	privilege
ferrit	ferrite
baccara	baccarat
rhizosphäre	rhizosphere
offerte	offer	 overture
rinde	rind	 bark	 mantle
naiv	green	 naive
exegese	exegesis
kongenital	congenital
tripolis	tripoli
allelopathie	allelopathy
epigenetik	epigenetics
kleopatra	cleopatra
duett	duet
euphorie	euphoria
plasmonisch	plasmonic
talib	taliban
hymne	hymn
absolutistisch	absolutist
enthusiasmus	enthusiasm	 mettle
polynesien	polynesia
virginität	virginity
komponente	component
ornithologie	ornithology
chocolat	chocolate
psychologin	psychologist
agoraphobie	agoraphobia
psychologie	psychology
hämoglobin	hemoglobin
föderalismus	federalism
pisse	piss
paranoide	paranoid
applaus	applause
octan	octane
dinosaurier	dinosaur
duell	duel
variante	variation	 variant
neutraler	neutral
hybris	hubris
mutante	mutant
priester	priest
nazismus	nazism
rutil	rutile
domestike	domestic
antimakassar	antimacassar
populär	popular
monopolistisch	monopolistic
sopran	soprano
obstipation	constipation
phosphor	phosphorus
ratifikation	ratification
pyramidisch	pyramidic
bromid	bromide
prophetin	prophet
konfrontation	confrontation
autodidakt	autodidact
vibraphon	vibraphone
semiotik	semiotics
tyrann	tyrant	 bully
stopp	stop
klaustrophobie	claustrophobia
materialisation	materialization
antagonismus	antagonism
produkt	product
desaster	disaster
transaktion	transaction
ichthyologisch	ichthyological
metempsychose	metempsychosis
jeremia	jeremiah
nephrologe	nephrologist
siswati	swati
genuin	genuine
schizophrenie	schizophrenia
observatorium	observatory
fundamentalismus	fundamentalism
patriotismus	patriotism
kordon	cordon
fragil	fragile
leucin	leucine
stipendium	scholarship	 stipend
xylophon	xylophone
acenaphthen	acenaphthene
pantheistich	pantheistic
ornithin	ornithine
pumpe	pump
pathologisch	pathological	 pathologic
hanna	hannah	 anna
kontrast	contrast
bizarr	bizarre
dromedar	dromedary
profiteur	profiteer
toasten	toast
phonem	phoneme
hernie	hernia
potentant	potentate
hippokrates	hippocrates
nitroglyzerin	nitroglycerine
amulett	amulet
theodor	theodore
epiphyt	epiphyte
generell	general	 generally
mulchen	mulch
ballon	balloon
saratow	saratov
phenylalanin	phenylalanine
interferenz	interference
ramifikation	ramification
soffitte	soffit
atavismus	atavism
grillen	fry	 barbecue	 grill
lemongras	lemongrass
zettaliter	zettalitre
extremität	extremity
banalität	banality
antikolonial	anticolonial
jeremias	jeremiah
veranda	patio	 verandah
attributiv	attributive
genealogie	genealogy
synagoge	synagogue
genealogin	genealogist
zentaur	centaur	 centaurus
jostabeere	jostaberry
lombardei	lombardy
biogeographie	biogeography
kadmium	cadmium
bauxit	bauxite
quintett	quintet
morphismus	morphism
kosmopolit	cosmopolite
granit	granite
babylonien	babylonia
mulla	mullah
kapitol	capitol
kompiler	compiler
triest	trieste
europa	europe
membran	membrane	 diaphragm
facette	face	 facet
komposition	composition
sunnite	sunni
attika	attica
behaviorismus	behaviorism
konfuse	confuse
ligatur	ligature	 logotype
revolutionär	revolutionary
sibylle	sibyl
simson	samson
prostituieren	whore	 prostitute
audiologie	audiology
alphabetismus	alphabetism
ignoranz	ignorance
herpetologie	herpetology
germane	german
pansexualität	pansexuality
nro	ngo
transparenz	transparency
sewastopol	sevastopol
antidot	antidote
skript	script
nr.	no.
jasmin	jasmine
rolle	part	 roll	 role	 pulley	 cylinder
transnistrien	transnistria
terpentin	turpentine
epigramm	epigram
horizont	horizon
konventionell	conventional
fuchsie	fuchsia
pyrotechnik	pyrotechnics
kickboxen	kickboxing
egoismus	egoism	 selfishness
amoralität	amorality
ragnarök	ragnarok
realistisch	realistic
sarajewo	sarajevo
psychometrie	psychometry
lysin	lysine
lasagne	lasagna
ballade	ballad
aphoristisch	aphoristic
perihel	perihelion
hegemonie	hegemony
pessimismus	pessimism
sensibilität	sensibility
desillusion	disillusion
amiodaron	amiodarone
romanze	romance
prostituierte	prostitute
kapitalismus	capitalism
maske	mask
literatur	literature
polyurethan	polyurethane
logotyp	logotype
nephologie	nephology
xenophobie	xenophobia
glyphe	glyph
aeronautisch	aeronautic
blasphemie	blasphemy	 blaspheme
dopen	dope
moment	minute	 second	 jiffy	 momentum
muslimin	muslim
stratosphäre	stratosphere
apraxie	apraxia
drollig	droll
singulär	singular
herde	herd	 flock
republik	republic
organismus	organism
surjektion	surjection
autonom	autonomous
buttermilch	buttermilk
internationalismus	internationalism
branche	branch
thymin	thymine
minimalistisch	minimalist
sodalith	sodalite
archimandrit	archimandrite
checken	check	 twig
legende	caption	 key	 legend
novellist	novelist
päderast	pederast
thermodynamik	thermodynamics
nitril	nitrile
protuberanz	protuberance
magazin	magazine
hypotheka	hypotheca
neoliberalismus	neoliberalism
geographie	geography
bretone	breton
landgraf	landgrave
wladika	vladika
konvention	convention
melone	melon
ideologie	ideology
anabolismus	anabolism
kapital	fund	 capital
hypnotherapie	hypnotherapy
ideologin	ideologist
substanz	substance	 matter
endosymbiose	endosymbiosis
hypothese	hypothesis	 conjecture
kommentator	commentator
myriaden	myriad
parmesankäse	parmesan
grotte	grotto
kantonese	cantonese
ahlspieß	ahlspiess
lanthan	lanthanum
delphin	dolphin
artillerie	ordnance	 battery	 artillery
positionieren	position
violinistin	violinist
flexibilität	flexibility	 flex
calvinistisch	calvinistical
semit	semite
elektromagnetismus	electromagnetism
metall	metal
troglodyt	troglodyte
additiv	additive
konnotation	connotation
stochastisch	stochastic
aneurysma	aneurysm
bloggerin	blogger
christin	christian
parthenogenese	parthenogenesis
individuum	individual
populismus	populism
melancholisch	melancholy	 melancholic
resultat	result
plattform	platform	 floor
diskussion	discussion	 argument
imperialismus	imperialism
klandestin	clandestine
kolumbarium	columbarium
kormoran	cormorant
druide	druid
häh	huh
superlativ	superlative
transformieren	transmogrify	 transform
pandemie	pandemic
ficker	fucker	 fuck
kavalier	cavalier	 squire
butan	butane
kindergärtnerin	kindergartner
makrophage	macrophage
heterozygot	heterozygote
kommissiv	commissive
dermatologe	dermatologist
klient	client
kondition	condition
tschukotka	chukotka
amid	amide
amin	amine
jehova	jehovah
transrealismus	transrealism
lithographie	lithography
polyglotte	polyglot
koordination	coordination
guanin	guanine
metalexikographie	metalexicography
neoplasie	neoplasm
desinformation	disinformation
inkompetent	incompetent
partisane	partisan
unperson	nonperson
katechismus	catechism
flageolett	flageolet
oktober	october
admiralsamt	admiralty
zelkowa	zelkova
neoplasma	neoplasm
exzeptionalismus	exceptionalism
zelkove	zelkova
phlegmatisch	phlegmatic
hierarchie	hierarchy
zelkoua	zelkova
kieserit	kieserite
dichogamie	dichogamy
soiree	soirée
koriander	coriander
hessen	hesse
negligé	negligée	 negligee
allegorisch	allegorical	 allegoric	 allegorically
isolationismus	isolationism
granulomatös	granulomatous
originalität	originality
abstraktion	abstraction
humanität	humanity
bulimie	bulimia
algier	algiers
neurologie	neurology
konsul	consul
kopula	copula
elektronegativität	electronegativity
ganymed	ganymede
astronomie	astronomy
reykjavík	reykjavik
pseudoskorpion	pseudoscorpion
bilingualismus	bilingualism
terminologie	terminology
checkliste	checklist
philanthrop	philanthropist
mongolin	mongolian
januar	january
neonatologe	neonatologist
obsolet	obsolete
trumpf	trump
produktion	production
rhinoplastik	rhinoplasty
experte	expert	 specialist
modul	module
limburgisch	limburgish
kontamination	contamination
ordern	order
